subject_id,task,data.value
44121892,T15,[{'11': 1}]
44121892,T16,[{'13': 1}]
44121892,T17,[{'0': 1}]
44121892,T19,[{'0': 1}]
44121892,T20,[{'0': 1}]
44121892,T21,[{'13': 1}]
44121892,T22,[{'18': 1}]
44121892,T23,[{'13': 1}]
44121892,T25,[{'8': 1}]
44121892,T26,[{'0': 1}]
44121892,T27,[{'1': 1}]
44121892,T28,[{'0': 1}]
44121892,T29,[{'13': 1}]
44121894,T1,[{'0': 1}]
44121894,T2,[{'0': 1}]
44121894,T3,[{'0': 1}]
44121894,T4,[{'0': 1}]
44121894,T5,[{'13': 1}]
44121894,T7,[{'0': 1}]
44121894,T8,[{'13': 1}]
44121894,T9,[{'0': 1}]
44121894,T10,[{'0': 1}]
44121894,T11,[{'13': 1}]
44121894,T13,[{'0': 1}]
44121894,T14,[{'13': 1}]
44121894,T15,[{'0': 1}]
44121894,T16,[{'0': 1}]
44121894,T17,[{'0': 1}]
44121894,T19,[{'13': 1}]
44121894,T20,[{'15': 1}]
44121894,T21,[{'0': 1}]
44121894,T22,[{'0': 1}]
44121894,T23,[{'0': 1}]
44121894,T25,[{'0': 1}]
44121894,T26,[{'13': 1}]
44121894,T27,[{'0': 1}]
44121894,T28,[{'0': 1}]
44121894,T29,[{'0': 1}]
44121896,T1,[{'13': 1}]
44121896,T2,[{'0': 1}]
44121896,T3,[{'0': 1}]
44121896,T4,[{'13': 1}]
44121896,T5,[{'13': 1}]
44121896,T7,[{'0': 1}]
44121896,T8,[{'0': 1}]
44121896,T9,[{'7': 1}]
44121896,T10,[{'0': 1}]
44121896,T11,[{'0': 1}]
44121896,T13,[{'1': 1}]
44121896,T14,[{'0': 1}]
44121896,T15,[{'15': 1}]
44121896,T16,[{'0': 1}]
44121896,T17,[{'0': 1}]
44121896,T19,[{'1': 1}]
44121896,T20,[{'0': 1}]
44121896,T21,[{'1': 1}]
44121896,T22,[{'0': 1}]
44121896,T23,[{'0': 1}]
44121896,T25,[{'0': 1}]
44121896,T26,[{'0': 1}]
44121896,T27,[{'11': 1}]
44121896,T28,[{'11': 1}]
44121896,T29,[{'13': 1}]
44121898,T1,[{'13': 1}]
44121898,T2,[{'0': 1}]
44121898,T3,[{'0': 1}]
44121898,T4,[{'0': 1}]
44121898,T5,[{'13': 1}]
44121898,T7,[{'0': 1}]
44121898,T8,[{'0': 1}]
44121898,T9,[{'13': 1}]
44121898,T10,[{'0': 1}]
44121898,T11,[{'0': 1}]
44121898,T13,[{'0': 1}]
44121898,T14,[{'11': 1}]
44121898,T15,[{'13': 1}]
44121898,T16,[{'0': 1}]
44121898,T17,[{'0': 1}]
44121898,T19,[{'0': 1}]
44121898,T20,[{'0': 1}]
44121898,T21,[{'0': 1}]
44121898,T22,[{'13': 1}]
44121898,T23,[{'11': 1}]
44121898,T25,[{'0': 1}]
44121898,T26,[{'0': 1}]
44121898,T27,[{'0': 1}]
44121898,T28,[{'0': 1}]
44121898,T29,[{'0': 1}]
44121900,T1,[{'0': 1}]
44121900,T2,[{'0': 1}]
44121900,T3,[{'1': 1}]
44121900,T4,[{'0': 1}]
44121900,T5,[{'0': 1}]
44121900,T7,[{'0': 1}]
44121900,T8,[{'0': 1}]
44121900,T9,[{'0': 1}]
44121900,T10,[{'13': 1}]
44121900,T11,[{'1': 1}]
44121900,T13,[{'0': 1}]
44121900,T14,[{'13': 1}]
44121900,T15,[{'18': 1}]
44121900,T16,[{'0': 1}]
44121900,T17,[{'0': 1}]
44121900,T19,[{'0': 1}]
44121900,T20,[{'1': 1}]
44121900,T21,[{'0': 1}]
44121900,T22,[{'0': 1}]
44121900,T23,[{'13': 1}]
44121900,T25,[{'0': 1}]
44121900,T26,[{'0': 1}]
44121900,T27,[{'13': 1}]
44121900,T28,[{'18': 1}]
44121900,T29,[{'0': 1}]
44121902,T1,[{'0': 1}]
44121902,T2,[{'6': 1}]
44121902,T3,[{'13': 1}]
44121902,T4,[{'0': 1}]
44121902,T5,[{'1': 1}]
44121902,T7,[{'0': 1}]
44121902,T8,[{'8': 1}]
44121902,T9,[{'13': 1}]
44121902,T10,[{'0': 1}]
44121902,T11,[{'18': 1}]
44121902,T13,[{'0': 1}]
44121902,T14,[{'0': 1}]
44121902,T15,[{'0': 1}]
44121902,T16,[{'0': 1}]
44121902,T17,[{'0': 1}]
44121902,T19,[{'13': 1}]
44121902,T20,[{'13': 1}]
